episode;reward0;avg_reward0;t_global;cr
397;200.0;186.9;35344.0;35343.0
398;200.0;187.4;35544.0;35543.0
399;200.0;187.8;35744.0;35743.0
400;200.0;188.3;35944.0;35943.0
401;200.0;188.4;36144.0;36143.0
402;200.0;188.4;36344.0;36343.0
403;200.0;188.8;36544.0;36543.0
404;200.0;189.4;36744.0;36743.0
405;200.0;189.8;36944.0;36943.0
406;200.0;190.1;37144.0;37143.0
407;200.0;190.2;37344.0;37343.0
408;200.0;190.6;37544.0;37543.0
409;200.0;191.2;37744.0;37743.0
410;200.0;191.8;37944.0;37943.0
411;200.0;192.2;38144.0;38143.0
412;200.0;192.6;38344.0;38343.0
413;200.0;193.0;38544.0;38543.0
414;200.0;193.2;38744.0;38743.0
415;200.0;193.7;38944.0;38943.0
416;200.0;194.1;39144.0;39143.0
417;200.0;194.3;39344.0;39343.0
418;200.0;194.7;39544.0;39543.0
419;200.0;194.7;39744.0;39743.0
420;200.0;195.3;39944.0;39943.0
421;200.0;195.7;40144.0;40143.0
422;200.0;196.0;40344.0;40343.0
423;200.0;196.3;40544.0;40543.0
424;200.0;196.5;40744.0;40743.0
425;200.0;197.0;40944.0;40943.0
426;200.0;197.0;41144.0;41143.0
427;200.0;197.2;41344.0;41343.0
428;200.0;197.2;41544.0;41543.0
429;200.0;197.3;41744.0;41743.0
430;200.0;197.3;41944.0;41943.0
431;200.0;197.3;42144.0;42143.0
432;200.0;197.3;42344.0;42343.0
433;200.0;197.3;42544.0;42543.0
434;200.0;197.8;42744.0;42743.0
435;200.0;197.8;42944.0;42943.0
436;200.0;198.1;43144.0;43143.0
437;200.0;198.5;43344.0;43343.0
438;200.0;198.8;43544.0;43543.0
439;200.0;199.0;43744.0;43743.0
440;200.0;199.0;43944.0;43943.0
441;200.0;199.0;44144.0;44143.0
442;189.0;198.9;44333.0;44332.0
443;200.0;198.9;44533.0;44532.0
444;200.0;198.9;44733.0;44732.0
445;167.0;198.6;44900.0;44899.0
446;200.0;198.6;45100.0;45099.0
447;159.0;198.2;45259.0;45258.0
448;155.0;197.7;45414.0;45413.0
449;166.0;197.4;45580.0;45579.0
450;200.0;197.4;45780.0;45779.0
451;200.0;197.4;45980.0;45979.0
452;200.0;197.6;46180.0;46179.0
453;193.0;197.5;46373.0;46372.0
454;158.0;197.3;46531.0;46530.0
455;176.0;197.0;46707.0;46706.0
456;196.0;197.0;46903.0;46902.0
457;200.0;197.0;47103.0;47102.0
458;168.0;196.7;47271.0;47270.0
459;191.0;196.6;47462.0;47461.0
460;197.0;196.6;47659.0;47658.0
461;186.0;196.4;47845.0;47844.0
