episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;episode;reward2;avg_reward2;t_global;cr;;episode;reward3;avg_reward3;t_global;cr;;episode;reward4;avg_reward4;t_global;cr;;episode;reward5;avg_reward5;t_global;cr;;avg_reward;avg_avg_reward
90;16.0;21.3;5400.0;8.0;;90;15.0;20.7;4800.0;7.0;;90;13.0;20.3;4800.0;7.0;;90;14.0;20.1;4800.0;7.0;;90;20.0;21.9;5400.0;8.0;;90;15.0;21.8;5400.0;8.0;;15.5;21.016666666666666
91;11.0;21.2;5400.0;8.0;;91;9.0;20.6;4800.0;7.0;;91;9.0;20.1;4800.0;7.0;;91;12.0;20.0;4800.0;7.0;;91;40.0;22.1;6000.0;9.0;;91;15.0;21.7;5400.0;8.0;;16.0;20.95
92;11.0;21.1;5400.0;8.0;;92;19.0;20.6;4800.0;7.0;;92;27.0;20.2;4800.0;7.0;;92;42.0;20.3;4800.0;7.0;;92;24.0;22.1;6000.0;9.0;;92;9.0;21.6;5400.0;8.0;;22.0;20.983333333333334
93;12.0;21.0;5400.0;8.0;;93;26.0;20.6;5400.0;8.0;;93;17.0;20.2;4800.0;7.0;;93;15.0;20.2;4800.0;7.0;;93;18.0;22.1;6000.0;9.0;;93;17.0;21.6;6000.0;9.0;;17.5;20.95
94;12.0;20.9;5400.0;8.0;;94;56.0;21.0;5400.0;8.0;;94;47.0;20.5;5400.0;8.0;;94;15.0;20.2;4800.0;7.0;;94;39.0;22.3;6000.0;9.0;;94;13.0;21.5;6000.0;9.0;;30.333333333333332;21.066666666666666
95;11.0;20.8;5400.0;8.0;;95;22.0;21.0;5400.0;8.0;;95;32.0;20.6;5400.0;8.0;;95;33.0;20.3;5400.0;8.0;;95;19.0;22.2;6600.0;10.0;;95;24.0;21.5;6000.0;9.0;;23.5;21.066666666666666
96;23.0;20.8;5400.0;8.0;;96;16.0;20.9;6000.0;9.0;;96;10.0;20.5;5400.0;8.0;;96;17.0;20.3;5400.0;8.0;;96;8.0;22.1;6600.0;10.0;;96;41.0;21.7;6000.0;9.0;;19.166666666666668;21.05
97;38.0;21.0;6000.0;9.0;;97;12.0;20.9;6000.0;9.0;;97;38.0;20.7;6000.0;9.0;;97;11.0;20.2;5400.0;8.0;;97;12.0;22.0;6600.0;10.0;;97;41.0;21.9;6600.0;10.0;;25.333333333333332;21.116666666666667
98;10.0;20.9;6000.0;9.0;;98;22.0;20.9;6000.0;9.0;;98;11.0;20.6;6000.0;9.0;;98;27.0;20.2;5400.0;8.0;;98;26.0;22.0;6600.0;10.0;;98;17.0;21.8;6600.0;10.0;;18.833333333333332;21.066666666666666
99;9.0;20.8;6000.0;9.0;;99;14.0;20.8;6000.0;9.0;;99;18.0;20.5;6000.0;9.0;;99;22.0;20.3;6000.0;9.0;;99;14.0;21.9;6600.0;10.0;;99;23.0;21.9;6600.0;10.0;;16.666666666666668;21.03333333333333
