episode;reward0;avg_reward0;t_global;cr;;avg_reward;avg_avg_reward
323;147.0;96.8;14741.0;151.0;;147.0;96.8
324;147.0;97.8;14835.0;152.0;;147.0;97.8
325;133.0;98.5;15023.0;154.0;;133.0;98.5
326;159.0;99.0;15117.0;155.0;;159.0;99.0
327;138.0;99.7;15305.0;157.0;;138.0;99.7
328;149.0;100.9;15399.0;158.0;;149.0;100.9
329;135.0;101.8;15587.0;160.0;;135.0;101.8
330;122.0;102.5;15681.0;161.0;;122.0;102.5
331;134.0;103.3;15775.0;162.0;;134.0;103.3
332;137.0;103.7;15961.0;164.0;;137.0;103.7
333;149.0;104.7;16147.0;166.0;;149.0;104.7
334;133.0;105.7;16240.0;167.0;;133.0;105.7
335;159.0;106.8;16426.0;169.0;;159.0;106.8
336;136.0;107.5;16519.0;170.0;;136.0;107.5
337;147.0;108.2;16705.0;172.0;;147.0;108.2
338;164.0;109.2;16798.0;173.0;;164.0;109.2
339;147.0;110.4;16984.0;175.0;;147.0;110.4
340;141.0;111.1;17170.0;177.0;;141.0;111.1
341;147.0;111.9;17263.0;178.0;;147.0;111.9
342;145.0;112.3;17449.0;180.0;;145.0;112.3
343;156.0;113.4;17542.0;181.0;;156.0;113.4
344;200.0;114.8;17821.0;184.0;;200.0;114.8
345;174.0;115.7;17914.0;185.0;;174.0;115.7
346;194.0;117.1;18100.0;187.0;;194.0;117.1
347;192.0;118.5;18376.0;190.0;;192.0;118.5
348;144.0;119.4;18468.0;191.0;;144.0;119.4
349;142.0;119.7;18652.0;193.0;;142.0;119.7
350;138.0;120.6;18744.0;194.0;;138.0;120.6
351;177.0;121.8;18928.0;196.0;;177.0;121.8
352;153.0;122.5;19112.0;198.0;;153.0;122.5
353;189.0;123.7;19296.0;200.0;;189.0;123.7
354;141.0;124.4;19388.0;201.0;;141.0;124.4
355;189.0;125.8;19572.0;203.0;;189.0;125.8
356;173.0;126.9;19756.0;205.0;;173.0;126.9
357;200.0;127.8;19940.0;207.0;;200.0;127.8
358;200.0;129.3;20216.0;210.0;;200.0;129.3
359;200.0;130.7;20400.0;212.0;;200.0;130.7
360;200.0;132.1;20582.0;214.0;;200.0;132.1
361;200.0;133.5;20764.0;216.0;;200.0;133.5
362;200.0;134.7;20946.0;218.0;;200.0;134.7
363;170.0;135.1;21128.0;220.0;;170.0;135.1
364;176.0;136.1;21310.0;222.0;;176.0;136.1
365;200.0;137.6;21492.0;224.0;;200.0;137.6
366;190.0;138.8;21765.0;227.0;;190.0;138.8
367;200.0;140.1;21947.0;229.0;;200.0;140.1
368;200.0;141.2;22129.0;231.0;;200.0;141.2
369;200.0;142.6;22311.0;233.0;;200.0;142.6
370;199.0;143.7;22493.0;235.0;;199.0;143.7
371;200.0;144.4;22675.0;237.0;;200.0;144.4
372;200.0;145.8;22945.0;240.0;;200.0;145.8
373;200.0;147.2;23125.0;242.0;;200.0;147.2
374;162.0;147.9;23305.0;244.0;;162.0;147.9
375;185.0;149.0;23485.0;246.0;;185.0;149.0
376;200.0;150.0;23665.0;248.0;;200.0;150.0
377;200.0;151.1;23845.0;250.0;;200.0;151.1
378;200.0;152.1;24025.0;252.0;;200.0;152.1
379;200.0;153.0;24295.0;255.0;;200.0;153.0
380;196.0;154.0;24475.0;257.0;;196.0;154.0
381;169.0;154.7;24655.0;259.0;;169.0;154.7
382;200.0;155.6;24835.0;261.0;;200.0;155.6
383;176.0;156.6;25014.0;263.0;;176.0;156.6
384;200.0;157.6;25192.0;265.0;;200.0;157.6
385;179.0;158.1;25370.0;267.0;;179.0;158.1
386;190.0;159.3;25548.0;269.0;;190.0;159.3
387;193.0;160.3;25726.0;271.0;;193.0;160.3
388;190.0;161.0;25993.0;274.0;;190.0;161.0
389;183.0;161.4;26171.0;276.0;;183.0;161.4
390;200.0;162.5;26349.0;278.0;;200.0;162.5
391;163.0;162.8;26527.0;280.0;;163.0;162.8
392;170.0;163.3;26705.0;282.0;;170.0;163.3
393;194.0;163.7;26883.0;284.0;;194.0;163.7
394;184.0;164.3;27061.0;286.0;;184.0;164.3
395;200.0;165.2;27238.0;288.0;;200.0;165.2
396;139.0;165.4;27414.0;290.0;;139.0;165.4
397;145.0;165.3;27502.0;291.0;;145.0;165.3
398;170.0;165.6;27678.0;293.0;;170.0;165.6
399;167.0;165.9;27854.0;295.0;;167.0;165.9
400;200.0;166.5;28118.0;298.0;;200.0;166.5
401;192.0;167.0;28294.0;300.0;;192.0;167.0
402;200.0;167.0;28470.0;302.0;;200.0;167.0
403;168.0;167.1;28646.0;304.0;;168.0;167.1
404;157.0;167.2;28822.0;306.0;;157.0;167.2
405;200.0;167.7;28998.0;308.0;;200.0;167.7
406;181.0;168.1;29174.0;310.0;;181.0;168.1
407;192.0;168.3;29350.0;312.0;;192.0;168.3
408;200.0;168.9;29524.0;314.0;;200.0;168.9
